1,3447346,3465
2,4198489,3284
3,2798043,3270
4,3628109,3340
5,3465244,3426
6,4225444,2804
7,4250406,3740
8,4166293,3664
9,4157374,3299
10,4364597,3461
11,4418274,3268
12,3967566,3455
13,4175060,2875
14,4422801,3344
15,3914752,3659
16,4199811,3217
17,3446345,3574
18,3853563,3473
19,4299002,3670
20,3950706,3265
21,4155824,3585
22,3049573,3327
23,3967994,3514
24,3977893,3625
25,4153621,3531
26,4187556,3350
27,3593913,3268
28,4116701,3380
29,4179416,3376
30,3891953,3405
31,4186372,3544
32,4134863,2842
33,3892661,3409
34,3764765,3360
35,2951111,3389
36,4158892,3467
37,2999202,3335
38,3933956,3354
39,4208691,3510
40,4133899,3430
41,3893489,3391
42,3998465,2563
43,3844098,3240
44,4216577,3574
45,3424151,3461
46,3857499,3249
47,3493000,2695
48,3424036,3453
49,4223847,3301
50,4236615,3391
51,2793382,3498
52,4493246,3171
53,3484302,3635
54,4232422,3310
55,4231486,3309
56,4438523,2777
57,4038826,3291
58,4216094,3370
59,4454202,3360
60,3984286,3587
61,4204475,3483
62,4389250,3432
63,3716111,4118
64,4432721,3324
65,4173930,3149
66,3122251,3448
67,3610928,3353
68,3436093,3331
69,3633578,3403
70,4205094,3324
71,4194537,3550
72,3511179,3461
73,4182486,3261
74,4196521,2844
75,3913765,3503
76,3875697,3364
77,3646676,3334
78,3445210,3302
79,3340435,3231
80,3698276,3414
81,3878943,3393
82,4261560,3357
83,3922367,3724
84,4192587,3603
85,3396106,3375
86,3925392,3441
87,4340644,3533
88,3994284,3407
89,3997569,4429
90,4397798,3407
91,4127593,3373
92,3465237,3387
93,3699144,3358
94,4186649,3479
95,2433601,3459
96,4177597,3356
97,4235294,3262
98,4160813,3516
99,3618667,3291
100,4209844,3503
101,3815346,3263
102,4204623,4393
103,3768472,2651
104,4221212,3399
105,4403167,3438
106,3449447,3414
107,4232357,3464
108,3901079,3349
109,4210980,3627
110,4411944,2836
111,4387190,3549
112,4172393,3404
113,3765228,3190
114,4248397,3149
115,4775770,3421
116,4484365,3279
117,3703864,2831
118,4205165,3272
119,4416690,11238
120,3082156,3290
121,3001736,3436
122,4261430,3253
123,4217917,2871
124,4399832,2826
125,4158127,3368
126,4393698,3437
127,4137944,3351
128,3450108,3481
129,3386320,3583
130,3903902,3321
131,4163963,3585
132,4149631,3373
133,4656397,3497
134,3950728,3335
135,4191802,3336
136,3955564,3557
137,4417183,3541
138,3901888,3628
139,3653142,3158
140,4205854,3166
141,2974993,3539
142,4220839,3441
143,4162286,3782
144,4157934,3297
145,3961614,3240
146,3480873,3308
147,4169394,3485
148,4146348,3344
149,4235544,3341
150,3624345,3633
151,4392582,3450
152,4203948,3451
153,3124655,3374
154,4251186,3495
155,3468207,3695
156,3950916,3271
157,3925000,3692
158,3974810,3411
159,4210306,3485
160,3934030,3649
161,4173077,3405
162,4377269,3746
163,4143947,3572
164,3727003,3440
165,4249034,3452
166,4158765,3573
167,3920510,3303
168,3048394,3319
169,4188970,3208
170,3470774,3530
171,4207877,3537
172,3912309,2992
173,4407386,3602
174,4480188,3369
175,3929360,3270
176,3435980,2589
177,4490572,3466
178,3883009,3387
179,4194698,3436
180,3039022,3411
181,4188142,3187
182,3822948,3004
183,3414774,3340
184,3896045,3248
185,4112533,3618
186,3519002,3336
187,4428587,3536
188,4188636,3548
189,3022936,3303
190,4685768,3521
191,3942136,3547
192,4315980,3311
193,2905430,3433
194,4211044,3384
195,4168866,3369
196,4459553,3440
197,4197835,3434
198,4384797,3395
199,4173450,3345
200,4441688,3186
201,3998312,3293
202,3884376,4091
203,4161348,3485
204,3942846,3380
205,3644714,2799
206,4125576,2697
207,4234898,3353
208,4283779,2634
209,3961445,3286
210,3495758,3263
211,4026039,3553
212,3773359,3506
213,4203799,3346
214,3927120,3331
215,3617900,3387
216,4355751,3397
217,4316604,3365
218,3903822,2943
219,3250152,3227
220,4586590,3467
221,3642913,3394
222,4263858,3229
223,3694896,3641
224,4300996,11109
225,3227521,3320
226,4337987,3325
