0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
11,11,5,5
11,11,5,5
16,18,9,7
16,18,9,7
14,12,4,6
14,12,4,6
17,15,7,10
17,15,7,10
8,11,2,3
8,11,2,3
0,0,0,0
0,0,0,0
0,0,0,0
8,100,5,4
8,100,5,4
9,7,3,3
9,7,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
100,10,3,4
100,10,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,100,0,0
0,100,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
9,100,5,4
9,100,5,4
14,12,7,5
14,12,7,5
18,15,5,7
18,15,5,7
16,14,6,6
16,14,6,6
14,16,8,5
14,16,8,5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8,100,3,1
8,100,3,1
14,12,6,5
19,17,6,6
19,17,6,6
14,11,5,4
14,11,5,4
16,18,8,9
16,18,8,9
13,12,5,3
13,12,5,3
9,5,3,2
9,5,3,2
0,0,0,0
0,0,0,0
100,1,0,1
100,1,0,1
9,8,4,3
9,8,4,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
100,0,0,0
100,0,0,0
0,0,0,0
0,0,0,0
0,100,0,0
0,100,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8,100,5,5
8,100,5,5
12,12,5,4
12,12,5,4
16,19,5,7
16,19,5,7
15,11,7,6
15,15,6,4
15,15,6,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,8,100,2
5,8,100,2
14,13,5,8
14,13,5,8
17,14,8,6
17,14,8,6
13,14,6,5
13,14,6,5
18,17,9,6
18,17,9,6
12,9,5,4
12,9,5,4
20,17,8,6
20,17,8,6
13,13,5,5
13,13,5,5
16,16,10,8
16,16,10,8
9,10,2,3
9,10,2,3
0,0,0,0
0,0,0,0
0,0,0,0
11,10,100,4
11,10,100,4
14,15,9,5
14,15,9,5
14,13,7,6
14,13,7,6
15,17,7,6
15,17,7,6
14,11,7,5
14,11,7,5
19,15,7,7
